,Word,Definition,Verb
759,destituo,"['to set down', 'place / abandon', 'leave in the lurch \n']",True
760,detego detectum,"['to uncover', 'lay bare', 'disclose\n']",True
761,determino,"['to fix the limits of', 'set boundaries to', 'delimit\n']",True
762,detineo,"['hold off', 'hold back', 'detain\n']",False
763,detrimentum,"['damage', 'loss', 'detriment\n']",False
764,deus,['god\n'],False
765,devenio,"['to come to', 'arrive at', 'reach\n']",True
766,devito,['to avoid\n'],True
767,devoco,"['to call away', 'call down', 'call aside\n']",True
768,devotio,"['(Christian) piety', 'devotion', 'zeal\n']",False
769,devoveo,"['to consecrate', 'sacrifice', 'devote / curse', 'execrate\n']",True
770,dexter,"['right', 'on the right\n']",False
771,dextera,['the right hand\n'],False
772,diabolus,"['devil', 'Satan\n']",False
773,dico,"['(dictum ) to say', 'tell', 'speak', 'name', 'call', 'pronounce\n']",False
774,dictata,"['things dictated', 'lessons', 'presents\n']",False
775,dictator,['dictator\n'],False
776,dictito,"['to say often', 'reiterate\n']",True
777,dicto,"['to say often', 'dictate', 'get written down\n']",True
778,didicerat,"['(?) Herimann', 'p 281\n']",False
779,didico,"['to be told (Herimann cap 39', '44)\n']",True
780,dido dididi didtum,"['to separate', 'divide', 'distribute\n']",True
781,dies diei,['day\n'],False
782,diffama -tus,"['spread around', 'made known\n']",False
783,differo,"['to spread news / delay', 'defer', 'postpone\n']",True
784,differo,"['to spread about', 'spread news / harrass', 'disturb\n']",True
785,differo,"['to delay', 'postpone / to differ', 'be different\n']",True
786,differtus,"['stuffed full', 'crammed', 'jammed\n']",False
787,difficilis,"['difficult', 'hard', 'troublesome\n']",False
788,difficultas,"['difficulty', 'need', 'trouble', 'distress\n']",False
789,digestor,"['arranger', 'composer', 'one who makes a pattern\n']",False
790,dignitas,"['merit', 'worth', 'prestige', 'dignity\n']",False
791,dignosco dignosco,"['to distinguish', 'recognize as different\n']",True
792,dignus,"['(+ abl) worthy', 'worthy of', 'meritorious\n']",False
793,digredior digredi digressus,"['to depart', 'deviate', 'digress\n']",True
794,digressio,"['separation', 'departure', 'digression\n']",False
795,digressus,"['separation', 'departure', 'digression\n']",False
796,dilabor,"['to break up', 'scatter', 'dissolve', 'slip away', 'fall apart\n']",True
797,dilato,"['to spread out', 'extend', 'expand', 'increase\n']",True
798,dilgenter,"['attentively', 'earnestly', 'carefully', 'diligently\n']",False
799,diligens,"['diligent', 'careful \n']",False
800,diligentia,"['diligence', 'industry', 'perseverance', 'persistence\n']",False
801,diligo,"['to choose out', 'esteem highly', 'prize', 'love\n']",True
802,diluculo,"['dawn', 'daybreak\n']",False
803,diluo,"['(of troubles) to remove', 'resolve\n']",False
804,dimidium,['half\n'],False
805,dimitto,"['to break up', 'dismiss', 'leave', 'abandon\n']",True
806,directus,"['plain', 'simple', 'direct', 'open', 'straightforward\n']",False
807,diripio,"['to tear in pieces', 'lay waste', 'devastate', 'plunder\n']",True
808,diripio,"['to separate', 'tear apart / pillage', 'devastate', 'lay waste\n']",True
809,dirunitas,['long duration\n'],False
810,diruo,"['to demolish', 'destroy', 'ruin\n']",True
811,discedo(discessum ),"['to break up', 'depart', 'go away', 'pass away\n']",True
812,discidium,"['separation', 'division', 'disagreement', 'tearing apart\n']",False
813,discipulus,"['disciple', 'student', 'learner', 'pupil\n']",False
814,disco,"['to learn', 'become acquainted with\n']",True
815,discrepo,"['to differ', 'to be different', 'vary', 'disagree\n']",True
816,dispono,"['to arrange', 'put in order', 'draw up (troops)\n']",True
817,disputatio,"['debate', 'dispute', 'discussion\n']",False
818,disputo,['discuss\n'],False
819,dissero,"['to examine', 'treat of', 'discuss\n']",True
820,dissimilis,"['unlike', 'different', 'disparate', 'dissimilar', 'distinct\n']",False
821,dissimulo,"['to ignore', 'leave unnoticed\n']",True
822,dissimulo,"['to conceal', 'disguise', 'keep secret\n']",True
823,dissolutus,"['lax', 'weak', 'wanting in energy', 'dissolute', 'profligate\n']",False
824,distinguo,"['to mark off', 'distinguish', 'divide / separate\n']",True
825,distribuo,"['to distribute', 'divide\n']",True
826,districtus (fr. distringo),"['strict', 'severe / hesitating / busy\n']",False
827,dito,"['to enrich', 'make wealthy\n']",True
828,diu,"['by day', 'for a long time', 'a long time ago\n']",False
829,diu,"['adv a long while', 'long time', 'for a long time\n']",False
830,diutinus,"['lasting a long time', 'enduring', 'long-lived\n']",False
831,diutius,"['longer', 'too long (a period of time) \n']",False
832,diuturnus,"['lasting a long time', 'of long duration\n']",False
833,diversus,"['different', 'unlike', 'opposed', 'hostile\n']",False
834,dives,"['rich', 'opulent', 'wealthy\n']",False
835,divinitus,"['divine influence', 'admirably', 'nobly', 'by inspiration\n']",False
836,divinus,"['divine', 'sacred\n']",False
837,divitiae  divitie,"['riches', 'wealth\n']",False
838,do  dare  dedi datum,"['to give', 'offer', 'convey', 'offer', 'donate', 'furnish\n']",True
839,doceo docui doctum,"['to instruct', 'teach', 'tutor\n']",True
840,doctor,['teacher\n'],False
841,doctrina,"['doctrine', 'teaching', 'instruction', 'learning\n']",False
842,doctus,"['taught', 'instructed', 'learned', 'tutored\n']",False
843,dolens,['painfully\n'],False
844,doleo,"['to suffer pain', 'to be pained', 'grieve\n']",True
845,dolor,"['pain', 'grief misery', 'pain', 'suffering\n']",False
846,dolose,"['slyly', 'deceitfully\n']",False
847,dolosus,"['crafty', 'cunning', 'sly', 'deceitful\n']",False
848,dolus,"['fraud', 'deceit', 'guile', 'treachery', 'a trap\n']",False
849,domesticus,"['domestic', 'civil\n']",False
850,domina  domina,"['lady', 'mistress\n']",False
851,dominatus,"['rule', 'mastery', 'tyranny', 'domination\n']",False
852,dominus  domino,"['master', 'lord\n']",False
853,domito,"['to tame', 'subdue', 'break in\n']",True
854,domus,"['house', 'home', 'residence\n']",False
855,donec,"['up to the time when', 'until', 'as long as', 'while\n']",False
856,donum,"['gift', 'present', 'donation\n']",False
857,dormio,"['to sleep', 'slumber', 'siesta', 'nap\n']",True
858,dubito,"['to doubt', 'hesitate\n']",True
859,dubium,"['doubt', 'hesitation', 'reservation\n']",False
860,duco,"['to lead on the march', 'marry a wife', 'command\n']",True
861,duco,"['to lead', 'draw', 'esteem', 'consider\n']",True
862,duco,"['to draw', 'shape', 'construct / (time) spend', 'delay\n']",True
863,duco,"['to charm', 'influence', 'mislead', 'draw in\n']",True
864,duco,"['to calculate', 'count', 'reckon', 'esteem', 'considered\n']",True
865,dudum,"['for a long while', 'a long while ago', 'some time age\n']",False
866,dulcedo,"['sweetness', 'pleasantness', 'charm\n']",False
867,dulcidine,"['sweetly', 'pleasantly', 'charmingly\n']",False
868,dulcis,"['sweet', 'pleasant', 'agreeable\n']",False
869,dulcitudo  dulcitudinis,"['um : while', 'as long as', 'until\n']",False
870,dummodo,['(conj + subj) provided\n'],False
871,dumtaxat,"['at least', 'not less than / at most', 'not more than\n']",False
872,duo,['two\n'],False
873,duro: ,"['to harden', 'last', 'endure\n']",True
874,durus,"['hard', 'harsh', 'tough', 'strong,enduring', '/ rough', 'rude', 'uncouth\n']",False
875,Dusiol petram,['Duissenpierre\n'],False
876,dux ducis,"['leader', 'guide', 'commander', 'general', 'duke\n']",False
877,ebullio,"['to boil up', 'bubble up', 'to appear', 'produce in abundance\n']",True
878,ecclesia,['church\n'],False
879,econtrathe same as contra: ,"['against', 'opposite', 'etc\n']",False
880,ecquando,['at any time? ever?\n'],False
881,edico,"['to announce', 'declare\n']",True
882,editio,"['the publishing of a book', 'an announcement\n']",False
883,edo,"['put forth', 'give out\n']",False
884,edo edi essum,"['to eat', 'consume', 'devour', 'waste\n']",True
885,edoceo,"['to inform fully', 'instruct thoroughly\n']",True
886,educo,"['to draw out', 'lead out', 'march out / bring up', 'rear / sue\n']",True
887,effectus,"['doing', 'execution', 'performance', 'effect', 'result\n']",False
888,effero  extuli  elatum,"['to carry out', 'bury', 'lift up', 'exalt\n']",True
889,effervo,['to boil up\n'],True
890,efficio,"['to do', 'produce', 'effect', 'make / bring about', 'cause / prove\n']",True
891,effringo effrego,"['break', 'break open\n']",False
892,effugio(effugi  effugiturus ),"['flee from', 'escape', 'elude', 'run away\n']",False
893,effundo,"['to pour out', 'pour forth', 'shed', 'utter\n']",True
894,egenus,"['in want of', 'in need of', 'destitute\n']",False
895,egeo,"['to need', 'lack', 'want', 'be without\n']",True
896,ego,"[""I ; I can't live without you"", 'baby\n']",False
897,egredior(egressus ),"['to go out', 'leave', 'depart', 'exit\n']",True
898,eicio  eiectum,"['to throw out', 'eject', 'drive out\n']",True
899,elatus,"['puff-up', 'proud of oneself', 'arrogant\n']",False
900,electus,"['chosen', 'select\n']",False
901,elementum,"['first principle', 'element', 'basic constituent\n']",False
902,elemosina,['alms\n'],False
903,elemosinarius,"['almoner', 'person in charge of providing charity\n']",False
904,eligo,"['to pick out', 'select', 'choose\n']",True
905,eloquens,"['eloquent', 'persuasive', 'fluent\n']",False
906,eloquentia,"['eloquence', 'readiness of speech', 'fluency', 'persuasiveness\n']",False
907,eluo,"['to wash out', 'rinse cleanse / squander', 'waste\n']",True
908,eluvies,"['a flowing over', 'flood', 'innundation \n']",False
909,eluvio,['inundation\n'],False
910,emanio,"['to flow out', 'spread / arise', 'emanate', 'originate\n']",True
911,emendo,"['to amend', 'correct\n']",True
912,emercor,['to buy up\n'],True
913,emerio,"['to obtain by service', 'earn completely', 'deserve well\n']",True
914,emineo,"['to stand out', 'project', 'be remarkable', 'conspicuous\n']",True
915,eminor,"['to threaten', 'menace\n']",True
916,eminus,"['at a distance', 'from a distance\n']",False
917,emiror,['to wonder at exceedingly\n'],True
918,emo  emi  emptum,"['to buy', 'purchase\n']",True
919,emoveo,"['to move away', 'remove', 'take away\n']",True
920,emptio,"['a buying', 'a purchase\n']",False
921,enim,"['for', 'in fact', 'truly (may often be omitted)\n']",False
922,enumero,"['to count', 'count up', 'enumerate\n']",True
923,eo ire itum,"['to go', 'advance', 'proceed', 'travel', 'move along', 'progress\n']",True
924,episcopalis,['episcopal\n'],False
925,episcopus,['bishop\n'],False
926,epistula,"['letter', 'epistle', 'missive', 'message\n']",False
927,epulo,"['sumptuous food', 'banquet', 'feast\n']",False
928,epulor,"['to feast', 'feast on\n']",True
929,eques  equitis,"['horseman', 'cavalry man rider (classical)\n']",False
930,equidem,"['(adv) indeed', 'truly', 'for my part\n']",False
931,equitatus,"['cavalry', 'horsemen (classical)\n']",False
932,equus,"['horse', 'steed', 'mount\n']",False
933,erepo,"['to creep out', 'creep over', 'creep up \n']",True
934,erga,"['(+ acc) toward', 'about\n']",False
935,ergo,"['(gen +) on account of', 'because of\n']",False
936,ergo,"['(adv) accordingly', 'then', 'therefore\n']",False
937,eripio(eripui ereptum ),"['to snatch away', 'take away', 'rescue\n']",True
938,erogo,['to pay out\n'],True
939,erogo,"['to pay out', 'expend', 'disburse\n']",True
940,erro,"['to wander', 'stray', 'rove / be mistaken', 'err', 'go astray\n']",True
941,error,"['error', 'mistake', 'going astray\n']",False
942,erubesco,"['to blush', 'grow red', 'be ashamed\n']",True
943,erubesco,"['(+ inf) to blush to', '(+acc) blush for', 'respect\n']",False
944,erudio,"['to instruct', 'teach', 'educate\n']",True
945,eruo,"['to dig up', 'pull out / raze', 'demolish\n']",True
946,esurio,"['to be hungry', 'to hunger \n']",True
947,et ... et,['both  and\n'],False
948,etenim,['for indeed\n'],False
949,etiam,"['(adv) even', 'also\n']",False
950,etsi,"['(acsi) even if', 'although\n']",False
951,evenio,"['to come to pass', 'happen', 'befall\n']",True
952,eventus,"['consequence', 'issue', 'result', 'occurrence', 'experience\n']",False
953,everto,"['to turn out', 'eject', 'dislodge', 'overturn / destroy', 'ruin \n']",True
954,evito,"['to shun', 'avoid; also', 'to kill\n']",True
955,evoco,"['to draw out', 'draw on', 'produce', 'recall to the colors\n']",True
956,ex(= e ),"['(prep + abl) out of', 'from within', 'from / on account of\n']",False
957,exaequo exequo,"['to be like', 'equal / make level or even', 'relate\n']",True
958,excedo,"['(trans) to exceed', 'leave', 'pass beyond\n']",False
959,excellentia,"['excellence', 'merit', 'worth\n']",False
960,excessum,"['departure', 'death', 'digression\n']",False
961,excipio(excepi exceptum ),"['to take out', 'except / take', 'capture \n']",True
962,excito,"['call forth', 'bring about', 'wake', 'raise up\n']",False
963,exclamo,"['to shout', 'cry aloud', 'exclaim', 'call someone by name\n']",True
964,excludo,"['to shut out', 'exclude\n']",True
965,excolo,"['to honor (a deity)', 'polish', 'adorn', 'refine', 'serve\n']",True
966,excrucio,"['to torment', 'torture', 'cause great pain\n']",True
967,excusatio,['excuse\n'],False
968,excuso,"['to exempt from blame', 'excuse', 'make excuses', 'plead\n']",True
969,exemplar,"['model', 'pattern', 'original', 'prototype', 'book to copy\n']",False
970,exemplum,"['pattern', 'model', 'example \n']",False
971,exerceo,"['to train', 'cultivate', 'keep at work', 'exercise', 'practice\n']",True
972,exercitus,['army\n'],False
973,exertus,"['tested', 'tried', 'approved', 'experienced\n']",False
974,exesto,['extra esto\n'],False
975,exheredo,['to disinherit\n'],True
976,exheres,['disinherited\n'],False
977,exhibeo exibeo,"['to produce', 'show', 'display', 'offer', 'allow', 'cause\n']",True
978,exhibeo,"['to show', 'present', 'allow', 'display', 'present', 'offer\n']",True
979,exhilaro,['to make cheerful\n'],True
980,exhorresco,"['to be horrified', 'to shake', 'shudder / dread', 'tremble at\n']",True
981,exigo,"['drive out', 'force out', 'exact', 'demand', 'sell\n']",False
982,exigo,"['complete', 'finish', 'determine', 'decide', 'settle\n']",False
983,exilis,"['thin', 'slender', 'meager\n']",False
984,eximietate,"['uncommonness', 'excellence\n']",False
985,eximius,"['extraordinary', 'excellent', 'fine', 'superb\n']",False
986,eximo,"['to free', 'release', 'take out', 'remove', 'waste\n']",True
987,exinde,"['thence', 'next / thereupon', 'after that', 'then / accordingly\n']",False
988,exitiabilis  exitialis  exitosus,"['fatal deadly', 'destructive', 'lethal\n']",False
989,exitium,"['destruction', 'ruin\n']",False
990,exitus,"['going out', 'going forth', 'exit', 'end', 'finish\n']",False
991,exordium,['the beginning (especially of a speech)\n'],False
992,exorior,"['to rise', 'spring up', 'issue', 'appear', 'come forward\n']",True
993,exoro,"['to prevail upon a person', 'entreat successfully\n']",True
994,exorsus,['begun\n'],False
995,expedio,"['to release', 'set free', 'clear', 'set straight\n']",True
996,expedio,"['to free from a snare', 'disentangle', 'set free', 'ready\n']",True
997,expello (expuli expulsum ),"['to drive out', 'expel', 'force out', 'banish\n']",True
998,"experior (experiri, expertus )","['to try', 'test', 'experience', 'prove\n']",True
999,expers,"['wanting', 'destitute of', 'not sharing in \n']",False
1000,expetens,"['desirous', 'eager\n']",False
1001,expeto,['to fall upon\n'],True
1002,expeto,"['to demand', 'require / desire', 'strive after', 'make for\n']",True
1003,expilatio,"['plundering', 'taking booty\n']",False
1004,expiscor,"['to fish out', 'find out', 'discover\n']",True
1005,expleo,"['to make losses good / fulfil', 'discharge (duties)\n']",True
1006,expleo explevi expletum,"['to fill', 'fill up', 'complete', 'finish\n']",True
1007,expletio,['satisfying\n'],False
1008,expletus,"['(part) perfect', 'complete\n']",False
1009,explicatus: ,"['explanation', 'exposition \n']",False
1010,explico,"['to unfold', 'unroll', 'disentangle / explain', 'expound\n']",True
1011,expono (exposui expositum ),"['to set forth', 'explain', 'expose \n']",True
1012,expositus,"['open', 'accessible', 'exposed\n']",False
1013,expostulo,['to demand earnestly / to make a claim\n'],True
1014,expugno,"['to capture', 'overcome', 'subdue', 'take by storm', 'gain\n']",True
1015,exquisitus,"['sought after', 'exquisite', 'excellent', 'fine', 'delicate \n']",False
1016,exsequor exequor,"['to follow to the grave', 'follow to the end\n']",True
1017,exsequor,"['to maintain', 'keep up', 'carry out', 'fulfill', 'accomplish\n']",True
1018,exsequor,"['to execute', 'avenge', 'punish / relate', 'describe', 'explain\n']",True
1019,exsertus exertus,"['project', 'thrust forward\n']",False
1020,exsilium,"['exile', 'banishment\n']",False
1021,exspecto,"['to look for', 'expect', 'await', 'wait for\n']",True
1022,"exstinguo, exstingui, exstinctum","['to extinguish', 'put out\n']",True
1023,exsto,"['to stand out', 'be extant', 'appear', 'project', 'show itself\n']",True
1024,externus,"['outer', 'foreign', 'outside', 'external\n']",False
1025,extollo,"['to praise exaggerate / decorate', 'adorn\n']",True
1026,extollo,"['to lift up', 'raise up', 'erect / elevate', 'exalt\n']",True
1027,extorqueo,"['to twist', 'wrench', 'dislocate / extort by force\n']",True
1028,extra,"['(prep + acc) beyond', 'outside\n']",False
1029,extremus,"['outermost', 'last', 'extreme\n']",False
1030,exturbo,"['to drive away', 'thrust out\n']",True
1031,exulto,"['to exult', 'be joyful\n']",True
1032,"exuro, exussum","['burn down', 'burn', 'set on fire\n']",False
1033,exustio,"['burning up', 'conflagration\n']",False
1034,facile,['easily\n'],False
1035,facilis,"['easy', 'agreeable', 'affable', 'pleasant\n']",False
1036,facillimus,"['easiest', 'most agreeable', 'pleasantest\n']",False
1037,facina -oris,"['bad deed', 'crime', 'villainy / deed', 'action\n']",False
1038,facio,"['to sacrifice', 'suit', 'help', 'be of service\n']",True
1039,facio,"['to give permission / to experience', 'suffer (troubles)\n']",True
1040,facio,"['(trans) to make', 'do', 'act', 'perform', 'cause', 'bring about\n']",False
1041,factum,"['deed', 'accomplishment', 'work', 'act', 'achievement\n']",False
1042,facultas ,"['power', 'means', 'opportunity', 'capacity', 'ability', 'stock ']",False
1043,facunditas,"['fertility', 'quickness or readiness of speech\n']",False
1044,faenum fenum,['hay\n'],False
1045,falsus,"['false', 'deceptive\n']",False
1046,fama,"['talk', 'report', 'rumor', 'tradition\n']",False
1047,familia,"['family', 'household\n']",False
1048,familiaris,"['belonging to a household / friendly', 'intimate\n']",False
1049,famulatus,"['servitude', 'slavery', 'service\n']",False
1050,famulus,['servant\n'],False
1051,fas est :: ,"['it is right', 'it is fitting', 'it is lawful\n']",False
1052,fas,"['divine law or command / fate', 'destiny / lawful', 'allowed\n']",False
1053,fateor,"['to confess', 'admit', 'allow', 'reveal', 'make known\n']",True
1054,fatigo,"['worry', 'fatigue', 'vex', 'harass', 'tease\n']",False
1055,fatum,"['fate', 'destiny', 'doom', 'lot', 'weird \n']",False
1056,fautor,"['favorer', 'promoter', 'patron', 'partisan', 'supporter\n']",False
1057,faveo,['(+ inf) To be inclined to do \n'],False
1058,faveo,"['(+ dat) be favorable to', 'aid', 'support', 'help\n']",False
1059,feculentia,"['dregs', 'lees', 'impurities', 'filth\n']",False
1060,fefello,"['to be failed by', 'disappointed by something Herimann', 'p 278\n']",True
1061,feliciter,['happily\n'],False
1062,felix  felicis,"['lucky', 'fortunate', 'happy\n']",False
1063,femina,['woman\n'],False
1064,fenestra,['window\n'],False
1065,fere,"['almost', 'nearly', 'not quite', 'generally\n']",False
1066,feretrum,"['bier', 'litter\n']",False
1067,feritas,"['wildness', 'savageness\n']",False
1068,"ferme, fere","['almost', 'about\n']",False
1069,fero  tuli  latum,"['to carry', 'bring', 'tell', 'relate', 'and much else\n']",True
1070,ferrum,"['iron', 'sword\n']",False
1071,ferus,"['fierce', 'wild', 'savage', 'untamed\n']",False
1072,festinatio,"['speed', 'haste\n']",False
1073,festino,"['to hasten', 'hurry', 'speed\n']",True
1074,festinus,"['hastening', 'hasty\n']",False
1075,feteo,"['to have a bad odor', 'stink\n']",True
1076,ficus,['fig tree\n'],False
1077,fidelis,"['faithful', 'loyal', 'true\n']",False
1078,fidelitas,"['fidelity', 'loyalty', 'homage\n']",False
1079,fidens,"['confident', 'without fear', 'courageous\n']",False
1080,fides,"['trust', 'confidence', 'reliance', 'belief', 'faith\n']",False
1081,fides,"['promise', 'assurance', 'word of honor', 'engagement\n']",False
1082,fiducia,"['confidence', 'trust', 'assurance\n']",False
1083,filia,['daughter\n'],False
1084,filius,['son\n'],False
1085,fimus,"['dung', 'dirt', 'filth', 'manure\n']",False
1086,fines finium,"['boundaries', 'limits', '/ territory \n']",False
1087,finis,"['end', 'limit', 'boundary', 'purpose\n']",False
1088,finitimus finitumus,"['neighboring', 'adjacent', 'related to', 'similar\n']",False
1089,"fio, fieri, factus","['be made', 'be done', 'become\n']",False
1090,firmo,"['to assert', 'maintain / strengthen', 'make firm / encourage\n']",True
1091,firmus,"['firm', 'strong', 'reliable', 'solid\n']",False
1092,flamma,"['flame', 'fire\n']",False
1093,flatus,"['blowing', 'blast', 'breathing', 'arrogance', 'haughtiness\n']",False
1094,"flax, falcis","['sickle', 'bill-hook', 'pruning hook\n']",False
1095,fleo,"['to weep', 'cry', 'shed tears', 'sob\n']",True
1096,fluctus,"['billow', 'wave\n']",False
1097,flumen,['river\n'],False
1098,fluo,"['to flow', 'pour', 'stream\n']",True
1099,fodio,"['to prick', 'sting', 'jab\n']",True
1100,"fore, forem",['future infinitive of sum\n'],False
1101,"forensis, e",['legal\n'],False
1102,forma: ,"['form', 'shape', 'beauty\n']",False
1103,formica,['ant\n'],False
1104,formo,"['to shape', 'form', 'fashion\n']",True
1105,fors fortis,"['chance', 'luck', 'fortune\n']",False
1106,forsit forsan forsitan,"['perhaps', 'probably\n']",False
1107,fortasse,['perhaps\n'],False
1108,forte,"['by chance', 'by luck', 'accidentally\n']",False
1109,fortis,"['strong', 'brave\n']",False
1110,fortiter,"['strongly', 'bravely\n']",False
1111,fortitudo,"['physical strength', 'courage', 'moral bravery\n']",False
1112,fortuna,"['fortune', 'luck', 'fate', 'chance\n']",False
1113,fortunate,['fortunately\n'],False
1114,fortunatus,"['fortunate', 'lucky', 'happy\n']",False
1115,forum,"['market place', 'town square\n']",False
1116,foveo fovi fotum,['to cherish\n'],True
1117,frango (fracta),"['to break in pieces', 'shatter\n']",True
1118,frater,['brother\n'],False
1119,frendo,"[""to gnash one's teeth"", 'bruise', 'crush', 'grind\n']",True
1120,frendo,"['gnash the teeth', 'crush', 'bruise', 'grind\n']",False
1121,frequentatio,"['frequency', 'crowding\n']",False
1122,frequentia,"['a large concourse', 'population', 'numerous assembly\n']",False
1123,frequento,"['to crowd', 'collect in large number', 'visit\n']",True
1124,frigus,"['cold', 'coolness', 'cold of winter / dullness', 'indolence\n']",False
1125,frons,"['forehead', 'brow', 'front\n']",False
1126,fructuarius,"['fruitful', 'fertile\n']",False
1127,fructus fructus,"['fruit', 'profit', 'enjoyment', 'produce\n']",False
1128,frugalitas,"['frugality', 'economy', 'pinching pennies\n']",False
1129,frumentum,['grain\n'],False
1130,fruor,"['to have the benefit of', 'to enjoy\n']",True
1131,frustra esse,"['to be deceived', 'to be mistaken\n']",True
1132,frustra,"['in vain', 'mistakenly', 'wantonly', 'without reason\n']",False
1133,"frux, frugi",['fruits of the earth\n'],False
1134,fuga,"['flight', 'escape', '\n']",False
1135,fugio,"['to flee', 'escape', 'run away / avoid', 'shun\n']",True
1136,fugitivusfugitive,"['deserter', 'runaway slave\n']",False
1137,fugo,"['to put to flight', 'chase away', 'drive into exile', 'pursue\n']",True
1138,fulcio,"['to support', 'strengthen', 'uphold / to besiege', 'oppress \n']",True
1139,fulgeo (fulsi ): ,"['to flash', 'shine', 'beam\n']",True
1140,fultus,['supporter\n'],False
1141,fundo,"['to pour', 'pour out (like molten metal)', 'melt', 'cast\n']",True
1142,fundo,"['(milit) to rout', 'scatter', 'defeat', 'put to flight\n']",False
1143,"fungor, fungi, functus","['to occupy oneself', 'perform', 'do', 'execute\n']",True
1144,funis -is,"['rope', 'cord', 'line\n']",False
1145,furibundus,"['raging', 'furious / inspired\n']",False
1146,furor,"['madness', 'rage', 'frenzy\n']",False
1147,furs,['thief\n'],False
1148,furtificus,['thievish\n'],False
1149,furtim,"['by stealth', 'stealthily\n']",False
1150,"furtumtheft, robbery / furta","['stolen property / trick', 'deceit\n']",False
1151,fusus(from fundo),"['spread out', 'extended', 'wide', 'copious\n']",False
1152,Gandavum,['Ghent\n'],False
1153,gaudium,"['joy', 'delight', 'happiness\n']",False
1154,Gemblacensis,['Gembloux\n'],False
1155,gemo,"['to sigh', 'groan', 'wail\n']",True
1156,gens,"['clan', 'race', 'nation', 'people', 'tribe\n']",False
1157,genus,"['kind', 'sort', 'class', 'category\n']",False
1158,gero,"['to carry', 'bear', 'wear / bear', 'give birth to / to carry about\n']",True
1159,gesto,"['to carry', 'bear about\n']",True
1160,gestum (gero),"['carrying about', 'conduct (oneself)\n']",False
1161,gestum (gero),"['carriage', 'bearing / having borne\n']",False
1162,gigno (genuit),"['to bring forth', 'bear', 'beget', 'father\n']",True
1163,glacialis,"['icy', 'frozen', 'full of ice\n']",False
1164,gladius,['sword\n'],False
1165,gloria,"['fame', 'renown', 'glory\n']",False
1166,glorior,"['to glory', 'boast', 'pride oneself\n']",True
1167,"grando, onis",['hailstorm\n'],False
1168,grassor,"['go about', 'go ahead', 'proceed', 'attack\n']",False
1169,gratia agere,['(+ dat) to thank\n'],False
1170,gratia,"['gratitude', 'favor\n']",False
1171,gratia,"['in order to', 'for the sake of', 'to\n']",False
1172,gratia,['(in the abl) on account of\n'],False
1173,gratulor,"['to wish a person joy', 'congratulate (+dat),give thanks\n']",True
1174,gratus,"['pleasing', 'agreeable / grateful\n']",False
1175,gravatus,"['sick', 'oppressed', 'ill\n']",False
1176,gravis,"['heavy', 'weighty', 'serious', 'important / severe', 'grievous\n']",False
1177,gravitas,"['weight', 'seriousness', 'dignity', 'importance\n']",False
1178,graviter,"['heavily', 'seriously\n']",False
1179,gravo,"['to oppress', 'burden', 'make suffer\n']",True
1180,gregatim,"['in troops', 'or crowds\n']",False
1181,gregatim,"['adv', 'In flocks', 'herds', 'troops', 'crowds\n']",False
1182,gusto,['to taste\n'],True
1183,habitus,"['disposed', 'in a certain condition\n']",False
1184,hac,"['this side', 'this way', 'here\n']",False
1185,hac,"['(fem sing abl) He who lives BY THIS (the sword)', ' \n']",False
1186,hactenus,"['hitherto', 'up to this point', 'so far\n']",False
1187,hae  he,['(fem pl nom) THESE (speeches) were very fine\n'],False
1188,haec hec,['(fem sing nom) THIS (sword) is more expensive\n'],False
1189,haec hec,['(neut pl nom) THESE (kisses) are sweeter than wine\n'],False
1190,haec hec,['(neut pl acc) Deborah always won THESE (wars)\n'],False
1191,hanc,['(fem sing acc) She wasted THIS (her youth)\n'],False
1192,harum,['(fem pl gen) The city wall had four OF THESE (gates)\n'],False
1193,has,['(fem pl acc) They gave THESE (their lives) for the Faith\n'],False
1194,Hasnonium,['Hasnon\n'],False
1195,haud,"['no', 'not at all', 'by no means\n']",False
1196,Helcim,['Helchin on the left bank of the Scheldt\n'],False
1197,Helnonensis,"['Elnon Herimann', 'p 279\n']",False
1198,Heniis Harniis,['Hames\n'],False
1199,hereditas,"['inheritance', 'often simply ""property""\n']",False
1200,hesito (haesito),"['to be unsure', 'uncertain', 'wavering\n']",True
1201,hi,['(masc pl nom) THESE (men) are loyal to the king\n'],False
1202,hic,['(adv) here\n'],False
1203,hic haec (hec ) hoc,"['this', 'the latter / he', 'she', 'it\n']",False
1204,hic,['(masc nom sing) THIS (house) is filthy\n'],False
1205,hilaris,"['cheerful', 'merry', 'gay\n']",False
1206,hinc,"['from this place', 'hence\n']",False
1207,his,['(masc pl abl) They passed BY THESE (roads)\n'],False
1208,his,['(masc pl dat) Tell it TO THESE (policemen) \n'],False
1209,his,['(fem pl dat) She gave her property TO THESE (churches)\n'],False
1210,his,['(fem pl abl) A life is enriched BY THESE (friendships)\n'],False
1211,his,['(neut pl dat) Listen TO THESE (orders)\n'],False
1212,his,['(neut pl abl) She earned it BY THESE (her deeds)\n'],False
1213,hoc,['(masc sing abl) He gave plenty FOR THIS (field)\n'],False
1214,hoc,['(neut sing nom) THIS (monastery) is well-built\n'],False
1215,hoc,['(neut sing abl) Do not hesitate BECAUSE OF THIS! (doubt)\n'],False
1216,hoc,['(neut sing acc) Break THIS! (fetter)\n'],False
